ZeroOne	c-ration	Food. Weight: 10. Nutrition: 300. Takes 1 turn to consume. Does not break vegan conduct.
scwizard	cope	The cope is a liturgical vestment which may be worn by any rank of the clergy. Copes are made in all liturgical colours, and are like a very long mantle or cloak, fastened at the breast by a clasp.
scwizard	cope	See ornamental_cope
jilles	extinctionist	A style of play in which one attempts to extinct or genocide as many monsters as possible.
jilles	extinctionist	Usually done with the create monster spell. The Eye of the Aethiopica is very useful for the fast energy regeneration.
jilles	extinctionist	This takes very long.
tsuteiuQ	extinctionist	http://groups.google.com/groups?hl=en&selm=98es5t%24epm%242%40news.doit.wisc.edu
Yui	extinctionist	http://www.steelypips.org/nethack/extinctionist-faq.html
paxed	yeti	This large carnivore is resistant to cold, and eating the corpse can give you cold resistance.
paxed	yeti	Speed 15, AC 6, does 1d6+1d6+1d4 damage
Zeffrin	yeti	Eaten: yeti   Nutr: 700   Intrinsic: Cold: 33%
jilles	ring_weight	All rings weigh 3.
n1ffo	orcrist	Elven broadsword artifact that does better attacking Orcs. Can be created by #nameing a regular Elven broadsword.
umopepisdn	orcrist	Very crappy artifact weapon. Slap the face of the deity who gifted it to you.
sawtooth	orcrist	If you #named this sword yourself using an elven broadsword, toss it up repeatedly to get rid of it.
Cheapy	orcrist	Does +d5 to hit and x2 damage against all orcs. Alive or (un)dead.
Quint_Sakugarne	orcrist	Disclaimer: line 3 is sarcasm.
scorchgeek	orcrist	It's occasionally useful to #name Orcrist--if you've named Orcrist and Sting and are an elf, your first sacrifice gift will always be Stormbringer.
greycat	weapon_damage	Weapon damages are taken first from the table in objects.c (sdam,ldam => 1dS, 1dL).  But then special adjustments are made on a per-weapon, per-monster-size basis in weapon.c.  Ugh.
greycat	weapon_damage	Blessed weapons do +1d4 vs. demons and undead. Axes do +1d4 vs. wooden monsters.  Silver weapons do +1d20 vs. silver-hating monsters.  These special bonuses are divided by 2 for double-damage artifacts, so that they'll be doubled later on and get back to an approximation of their normal values.
greycat	weapon_damage	For specific categories, ask  about one of these: axe_damage blade_damage bludgeon_damage missile_damage polearm_damage spear_damage sword_damage tool_damage.  Note that these are categorized by the tables in the source code, not by strict weapon type.
Adeon	weapon_damage	See a calculator here: http://genodeen.net/index.clua?poppins_dam
firippu	amber_stone	see {amber}
paxed	harp	Unidentified description of either a wooden harp or a magic harp.
itsblah	ring_of_warning	Gives warning when worn.
dasunt	scroll_of_taming	If blessed or uncursed, it will tame monsters within a one square radius.  Also calms shopkeepers.  Some monsters may resist.  If cursed, it will anger monsters within a 1 square radius.
dasunt	scroll_of_taming	When read by a confused player, an uncursed scroll of taming will try to tame monsters in an 11x11 circular area (and calm shopkeepers).  If cursed, it will anger monsters in an 11x11 circular area.
SpeedEvil	scroll_of_taming	"Natural" pets (horses, dogs, and cats) are initially tamed with a tameness of 10; other creatures start with a tameness of 5. This is important to note, for creatures that don't eat.
stumbly	scroll_of_taming	Scrolls of taming operate with an effective level of 9, as opposed to spells of charm monster which use actual player level.  d(100 + (level) - (monster level)) is compared to monster MR to determine success.
paxed	tombstone	Configuration option.  Draw a tombstone graphic upon your death.
Sgep	you_dream_that_you_hear	You heard something that would normally be conveyed as "You hear", but you were asleep
Entro-P	cleaver	This Neutral battle axe is the Barbarian's first artifact. +d3 to hit and +d6 damage
billnye	top_10	Go to http://alt.org/nethack/top.php , and stop reading soon after the page loads :D
paxed	efembe	Efembe the Mad Polypiler was a character played by Boudewijn Waijers.  This was the character that made the devteam implement limits for polymorphing objects.  (Use google groups to find out more)
jeddy00	icky	Interactive Chat Kollaboration of Yendor.
dasunt	strained	A method of killing yourself by carrying too much and dropping your speed.  A strained character will be 75% slower then normal - monsters will get four hits instead of just one, effectively doing 300% more damage.
mathx	strained	when carrying 2.0 to 2.5x capacity. -5 to hit. Extra hunger count on odd turns. Excercises Str. Can drown (like burdened or worse) by not getting a turn to climb out.
paxed	adom	Another roguelike, no source available.
paxed	adom	Standing for Ancient Domains of Mystery, ADOM tends towards a larger, more complicated world than nethack, more like traditional RPGs than Rogue.
greycat	adom	The official site is at http://www.adom.de/
Nexos	suddenly_you_are_transparent_but_there	see {suddenly_you_are_transparent,_but_there}
runcible	menu_commands	see {menu_controls}
Zeffrin	chieftain	Eaten: chieftain   Nutr: 400   Effects: Human
paxed	paper_golem	Doesn't do much damage, and is a good source of blank scrolls.
dasunt	opera_cloak	Either the unidentified cloak of displacement, unidentified cloak of invisibility, unidentified cloak of magic resistance, or the unidentified cloak of protection.
jmr	spells	See: http://www.steelypips.org/nethack/343/spl2-343.html
greycat	fountain_gambit	A playing style in which you quaff from or #dip into fountains with your low-level character.  The potential reward of a wish is considered by some players enough to overcome the far-more-likely outcome of death by water moccasin or hostile water demon.  Since it's only a low-level character, if you die you didn't lose much; but if you get a wish, you gain enormously.
HiSPeed	fountain_gambit	Doing the fountain gambit with a wizard has a chance of surviving thanks to force bolt and continous level ups (including hp + pw increase).
rast	fountain_gambit	Other players dislike this practice and compare it to #quitting and restarting until a blessed magic lamp is generated in the first room.
rast	fountain_gambit	The expected value of 100 first-level fountains is two wishes, eight hostile water demons, ten groups of snakes, and ten nymphs.  Lower down in the dungeon you will get less wishes and more hostile water demons.
greycat	scroll_weight	All scrolls weigh 5.
Sgep	coughs_spasmodically_and_collapses	A monster attempted to swallow Pestilence.
paxed	used_armor_dealership	A shop.  Sells and buys armor and weapons.
paxed	loadstone	Weighs a ton (500).  Autocurses.  Easily identified from other gray stones by kicking; loadstone just goes *thump*
joshk	loadstone	People with kicking boots and/or good bare handed combat / martial arts skills may be able to kick the loadstone a small distance. Normal gray stones go pretty far when kicked, so beware!
itsblah	loadstone	If you end up with one, you can uncurse it to drop it. Beware, as it recurses when you get rid of it!
SpeedEvil	loadstone	A slightly odder way to remove it is to zap yourself with stone-to-flesh. Remove all other stone items from inventory first.
CatEater	wan1	Table of wands, zapping, engraving: http://www.steelypips.org/nethack/343/wan1-343.html
paxed	autoquiver	Configuration option.  Automatically quiver some suitable weapon if your quiver empties when firing.
ekiM	minotaur	Symbol 'H', Level 15, speed 15, MR 0. Giant humanoid, carnivorous, does 3d10 + 3d10 + 2d8 damage.  Often have a wand of digging, and mostly found in mazes. They hit very hard in melee and ignore Elbereth. They have MR 0 so try things such as sleep, polymorph, or teleport.
Zeffrin	minotaur	Eaten: minotaur   Nutr: 700
Zeffrin	minotaur	<bnagy> minotaurs are nethack's way of saying it's getting serious now
paxed	pyrolisk	Speed 6, AC 6, magic resistance 30%, this monster is fire and poison resistant and its corpse can give either.  It has a gaze that does 2d6 fire damage.
Eidolos	pyrolisk	Its gaze attack is rendered useless if either one of you is blind. It won't affect your armor, but your potions, spellbooks and scrolls may burn up or explode.
Zeffrin	pyrolisk	Eaten: pyrolisk   Nutr: 30   Intrinsic: Fire: 20%, Poison: 20%
kats222	player_selection	If you're playing under a GUI, and would rather create your characters via old-style prompting, rather than with tickboxes and menus, add this line to your config:
kats222	player_selection	OPTIONS=player_selection:prompts
greycat	caveman	Ugh!  The caveman is a primitive warrior class.  They may achieve Expert skill in clubs, maces, slings, spears, quarterstaves and boomerangs; and master in bare handed combat.  They may not use two-weapon combat.  They are either lawful or neutral, depending on your race.
greycat	caveman	They are allowed to practice cannibalism.  
paxed	caveman	Caveman rank titles: Troglodyte (xplvl 1-2), Aborigine (3-5), Wanderer (6-9), Vagrant (10-13), Wayfarer (14-17), Roamer (18-21), Nomad (22-25), Rover (26-29), Pioneer (30)
luis	caveman	Intrinsic abilities: 7: Speed; 15: Warning.
Rhubarb2	caveman	can be Lawful Dwarf / Neutral Gnome / Lawful or Neutral Human
IamI3rian	caveman	Cavemen (or women) may attain basic skill in Attack spells and become Skilled in Matter spells
kerio92	caveman	Their quest artifact is the Sceptre of Might.
Zeffrin	caveman	Eaten: caveman   Nutr: 400   Effects: Human
Chilliwack	warg	Difficulty 8, level 7, speed 12, AC 4, monster-MR 0, XP 95.  Attacks with a bite for 2d6.  Appears in packs.  Its corpse provides 350 nutrition, is safe to eat, and does not provide any intrinsics.
Zeffrin	warg	Eaten: warg   Nutr: 350
ekiM	smoky	see {smoky_potion}
dasunt	gloves	There are four types of gloves in the game:  leather gloves (yugake), gauntlets of dexterity, gauntlets of fumbling, and gauntlets of power.  Their unidentified descriptions are randomized per game:  old gloves, padded gloves, riding gloves, fencing gloves.
dasunt	gloves	To identify gloves, use these guidelines:  Leather gloves are common, tend to be dropped by certain NPCs, and cost far less then the other types.  Gauntlets of fumbling tend to be cursed, if they are not, wearing them should give a clue.  Gauntlets of power auto-identify when worn.  Which leaves gauntlets of dexterity as the last possibility - they will auto-identify if enchanted.
Zealot	gloves	Leather gloves cost 8 zorkmids; the others cost 50 zorkmids.
greycat	gloves	Gauntlets of power are metal, and will therefore rust and increase spell failure probabilities; the others are non-metallic.  For spellcasters, gauntlets of dexterity are the gloves of choice.
ihope	gloves	Gauntlets of power weigh 30; the others weigh 10.
Shachaf	patchack	see {patchhack}
